id,accountId,puuid,,profileIconId,revisionDate,summonerLevel,champ1,champ2,champ3,lane,gender,born_year,game_started_year,MBTI
bfLIbC84MeTmCEu8QTGdUvvfKy6xqAU-pCUXWfa1B6l_hg,q785vCtn8un2XR0fnlQ4azpKAvZ7LwidbV7lL2wcepw,b_DsFqdmeggbmNqVRkwIMY0dXbVrpP_RmCMXkWpKaw9sVK2SUMZPZxhsqI0Q9Blwweejh2_E2uD5Eg,,3180,1.61E+12,311,412,26,16,SUPPORT,man,1995,2013,ISFP
P-FAyeFE-pi0ff09zQ5LM2mAM6izoOtDd2MG4eV2vBU3NQ,kskdXZvfm1BY8yKGJYPU4NnUYmpVpbsBJeFuLD1GRfoM,MaQVKHNfHQ6QZfEagkko-CmlpCrJFIGrGI78avsFdcX1xvmxRSqCIoQ1MiVKyl3JZzaeddfS8cY8lA,,4368,1.61E+12,198,None,None,None,None,man,1993,2012,ISFP
atMo29yJJ0we_4fdlNm-i6FR-G4gsrZo_0l4xeYR1-Ug1A,oGO9aG_YI9MBJZIynCaDopVJ40xd4FEA-s8528eGvnnv,lh0o4mxm3ZcORsF0YotjOGlGSxgWVa2H95INo3VFWNvXuYGCKdrYPkvKxUaD_6FOqL4SLoIUD-ue3Q,,4691,1.61E+12,276,51,110,15,ADC,man,1997,2012,INTP
U8Vqja-2Hrr_0h8lY7biSdODksBB-YYYz4KF0YfIa81jlz8,QwgwqQRS2tE40xjHELeZYmbu-I5w4oTxg8wltmBNBuJFpFg,4QpdQW12GKsOmu5860jystxcxhiXu91IJDU3ai5TJ1gALainiDLHRjuOsW9ky0y7xw7DYUJnbhlDTg,,4763,1.61E+12,179,111,420,31,MID,man,1999,2012,INTP
iwSQ4Cw1o5KA0ZxbueMParZGB635CMfejkkWhb_t72OfECs,Zy97XQAcHvAdkVLSYNvXXQLlExOYh9W512SMXV-32TCfZYo,7rBzBtKMLAurjrL6wW4CuJ8TzsK4sXVh4EhdV4D9eoZpyoMKAgo4MTmoNZAT_6r7dgs-eedAObpGtQ,,4658,1.61E+12,227,523,81,51,ADC,man,2002,2014,ESFP
vQorj9coz3UFVcIWmq9ykxjpxcWERvI9tkm3onsQEP8uRw,8tYrPX89DqhqovZ_hOltToJGF6t26fG8OrSSvfaqJraK,diwDVGiVYAf-VhXaADtcRoGcGshZKYMTT3Zi-WZMSSOOj2jMG1hiGZe_1X3s0Pm441qHZP9MHktoeA,,4748,1.61E+12,211,142,80,235,SUPPORT,man,1997,2012,INFJ
57uvP2aI21LJgckrhYBquH-K4Z6I46nmnl_-T6gE5o5O_Zw,V1SBYl-kRlTfHFjAINJXYhqDi2-3iHlkcdPOTcATsziEXXg,zk5vaVInDfAvTb2eT3x9sPIEOctpaTjGkmHzluFGnmayWNs75ejbecHsviAot9D6nBGLQOgxp0Nf2g,,23,1.61E+12,163,266,80,61,TOP,man,2000,2013,ESTP
xxYlNwYBW1k4STLqH7pK0plzjlH4f5X_deIlX32xCn24dBw,QjXKVDhJBzI2lG9JWH9uT-IL8VvvKITLwh-K8SLnUNoydFY,2a0_ZnuFe3iSI6wxkKQlXwEd62oe7r_6OCGdLK6F5h6CxV_B7C6HNwLS-O8xB9UHJYM7MV048CYl8w,,4780,1.61E+12,135,142,26,246,MID,man,2001,2013,ISFJ
lDEBB487-VEOp5qPjrna_R4d7nxVqvgXo7LQrrvYN1RCh-k,z30R82gVcQkR0GMxQ1bsUxq2B7HJpBeabJVdrn9mUgw69Jg,Eg5IYAwZIZPg706G_njYq9amSUy4crR2mh-d6CmgtF-2YV6Q6U6wnzCRK5teMRt-k7BU-c95KfiUAQ,,4787,1.60E+12,229,51,16,235,SUPPORT,man,1999,2017,ENTP
3BJRONu17tXJMC0Fg7vQys7CsOK2CZjGObkJK42Oa9wdUN0,DFR-tkQebFYTzsaNxLyHr-i2gTkzgXUubsQuRgrw-AO14yI,oitI6KZyQmW-7-ghUs4Ukd5DsWJCyp4zkPXjrgZv5ePaoSIKtnq6hGQ99QyFDx41ToKeB3q8db272w,,4628,1.61E+12,484,84,78,99,MID,man,1999,2018,INTP
_4YBshnHeIGjxhVb8E0nt7ffhMwexgdII7wXS4HgZj0btP_2,WWZNAgIMSFkTlFpRMUuPhnbwfWYOSX6jVOgHofv792pBU7HV3idu3kMF,46H4QRqfA1jg79Mhrq_E8XOc_PQ1HIAqG22Fd-HNEhshbBOuFq4vpTIY5cdVuqd-lOhMlJSvfra2Eg,,4796,1.61E+12,87,157,777,84,TOP,man,2002,2016,ENFP
TDQkZQeAFIBwye3hi8tXIl6nbSIel8cgdQuBXIqFO1lizqo,6dmtL3lb9N1KsPm9T1jv_eVEVz0dCj-nyDp-yGn79OuWI2I,wOYnYuYs7DNEwE-1NkBbbuD9YMVApVEWHiAVfT3cMs5-4Bvcoioq1gWRmir6JQIsmUPPOGv_oeBgyg,,4763,1.61E+12,274,81,523,22,ADC,man,2003,2015,ESFP
QuIVUtBZMeVa-CDprfbCurK9LWoHVtu8yuM6V5usgQ5zhGc,XFxNHbWUoa-8uFBTnobEfhgTJBxor50FKkByLFKnLl_I0Y0,jMRlFGmHLHfdPAatrmC-eeCX-MJnOWyZvhEsfFKGGSz8KrWh7NPIkZpxmQ4Yp3Yq5ah4grgzuP1Pww,,7,1.61E+12,423,157,245,235,MID,man,2003,2015,ISTP
nYJm0Fo4jx0_rgMcng_1NpgbsKJnmNewlPECnSD5fB5FZM4,Vq6pHxF4jxG7dN-deYBavgWRD4ZPMWbYxwQyDMsGJg_D8-U,THsTqycgXLdlGMJHHStfGtAMeNJIkFHqEn6hcRSXDLNQHk99nCQJ0fk8_KM0bOvhwX0fS8VccCCuZg,,1625,1.61E+12,169,875,201,412,SUPPORT,man,2002,2018,ISTP
GUl5saL-pb61sVWS0xqKSOLOEWSAnM8VHk3SvM6x-brnGw,IlCK9ehaMHczz4f1ZRwbJYMwhNkqCvtRD4B2TJspGzaV,EEOs2gQLSvhQwRLqqfwPqc4PLFLL76hi3a58hoQ8l3-ZpO3VxlCs5tvs8iCITxKHeESQ8PEDlnMOOw,,4761,1.61E+12,169,64,141,876,JUNGLE,man,1996,2013,INTJ
oe665CdhUhQJ3uBuq0qji6kp9uFSA_VPHyQl8sIIFSEN2g,rIikVOr8IG56PifEzpzDlwCzTTKMt9X23Fn7Io5WnXp0,Fs00_SV1djL9-1R2WtYaWK1q3Y4OTCh3tFRQFk4vnDODngZiUp14rcGtTHxzTzi4SuNVkNLL4ULpeA,,3614,1.60E+12,227,412,432,53,SUPPORT,man,1996,2013,INTJ
nlFKfUD3OVo78vgxnaGu6qWGvzBKvsWCwtQcf5v0g5dUsy8,ymG8nyNOGcvXbf8CjDiSBSgjFmk0VdtQJVFIDu2H_PgIJHc,TK3bm6JjukVWCZ-jpGjsUu5gKBvspO3jJg3C0k7v5BsDNfNYOC0VVImSw0w3zi-opN0owZF0apr87A,,4690,1.60E+12,199,58,875,133,TOP,man,2001,2013,ISTJ
aHXQ7_jxlyq_lktWV5tRSOD62Sbw3M0vrx2DrqoVu4JyZz4,H4yLyvGFUd3V3ETMsHipYaTpFoTEN_33bjHdWkM1nAsoNW4,TtycOqTlTfKDxw07hBdK3bS8snKRVw3DP3biyJBZNmldNL6YamxwKAjG_CbhWOv4fz5Xi1paYunfpg,,4027,1.60E+12,49,19,54,516,TOP,man,1995,2014,INTP
UFof1lJAitpJAorsnKhwYQGgg5w9SX9EmJ57idffbot5k04,CoK0zTewZtP-U0McqD2HO2s5p-oYISqAV9ZA-FvSVC6oAYg,vGxue5Wwt6N7Rq_NjbjwTp_AFVoZYBsa7kgmmbOaYCIGUijpTfRViDUaq1ULwtjR5fd4yU4gHvp6BQ,,3186,1.61E+12,273,56,61,245,MID,man,1994,2012,INTP
1THXLH8tNcWTiWo6cik_sZ98fTfiW-EPOyRZIhpXeSsq8g,Uu17L3O5RyqemA1AGZe4qsXaORzqGwpSHHXAbqS2k8N6,dxbl1vsvBdgFn4IW6EmA4wsZOIegFSPKyabuLhnl_uAGlTNzFKWzD6yTZ3sSJ2V41zuwstiWjnYMyQ,,4495,1.60E+12,158,235,350,43,SUPPORT,man,1997,2012,ISFJ
7ja-Pe2QIG8-U4mURZUhcG54hMwEC1q0tEKgiukLxveqfiw,Pb7h0HtxKsd9usBHOzuOu2CUC_CElMiIYq_SCT4XNV31Byw,NhWV2BOL-zQ5qFGjmRiY0Gqp2i2sMSTsfJwhxpRIYCxtT33v-4h6OhfU3D4Ea3W4o9PrFyL4BKi6BQ,,4661,1.60E+12,223,81,145,236,ADC,man,2003,2013,INTP
0WWBmQH4nC8A3pUw4QVV0GnewHtTE7sUM-Dq-vG4lWQshA,NhWZq3ztuenKZrGmC2ZGfRnuFzkoMCO0jY4-KAlhUm6u,pmd3FxGBjFn1J2iyzVcbam06eaKASpK50rpNNOWtBuYdyNE9ESy5NS6TAgNvI6mQ1y3luGHuwKBuNA,,6,1.61E+12,181,236,81,84,ADC,man,1991,2012,ENFP
eb_xxG4MbsCF_JiOGwBUs7JB0yk6YHgHfpSsdEarHzO6KB0,oHYccB-UbklK6oAlzmu_m_L-alZX9lsdr7LRBic-3GaZTS2_opg3Q28o,XmKuXDV92f4LuFBL3ag6fWM1Atq9lBQUWPE_m3S1PSZ_8OwKeH9I0bJ601oivetOj6ZOu3bfrp_tkw,,4794,1.61E+12,307,84,90,51,MID,man,1991,2019,ISTJ
AcArEO-PeTTD8McJUEeDHqy5yeTZhxsjSQdybqYGB_GqTw,mH4zgCSwQ3EJw1CNHQqrxT4CoCw-fQWo5EglLLlAGEFS,zGZif1dJvsPrQmYDOV-EYsao2ByI--VxpxUh8YdOZE1bOGzGOfc2UJxGbz88nuoODcDHgkjpEkDXSg,,4787,1.61E+12,143,77,56,202,JUNGLE,man,1996,2014,INTP
C5Iq3e0t4OFQ7fj6we0lTiesPofzIctQnioAXvpEko_isw,1kiF6UJKk2hrWW31dYIrXBDmeINhJijjMPFHb3lArY5W,SplfnASEyol8whqvKvgGLHReOLtqJbHuZU_dWViI-and8yJEjx1mrlPlauZi9xQnrxMgk4gL1Bl4pw,,4707,1.61E+12,351,81,145,523,ADC,man,1997,2014,INFJ
gBkG2IVuzXDR4gKBXtqwUCmSSaMBHV_vZodXw565_id7HQ,9AKouJ7iftbo6uWrWuuddmHBxc_CpLNRRHhumU3ScXY,xRa3v-8JQE8K5_Szq8PHdJQkRksmEL_b6OT-kB989U1fwWjHj59evECtA-Gu2kRj9H9sDGElX-ucmg,,4707,1.61E+12,315,58,80,68,TOP,man,1993,2012,ESFP
V29921HK3rjyy2EYRx16S_YIRiQpxUi2lUx4KfERLvFGMW8,XwH-mR06NdL0CJrjjBSxFrqH4J9ymI-kbvkwZ-sqmMnHJVE,bm1vh4u5c6NSTRUBg73DnKytu1Kd08WAsmbkOzLPGbbEmJRkXbqEWDYemitCm49WrXvMUEZY7aXGiA,,4795,1.61E+12,358,122,875,516,TOP,man,2003,2015,ENFP
GWQylvwAcW5cAbuwvs2zBD66blZwZ8-ugfv8mfAqXINMkAA,_nTxdj2cao6NuXGkKRIOeoWRfzAYdhEbCb41xzRjjzG8DZ8,nRKx0jsOYlF_egCSDPkBicDbjXA_Nz4-o-qu16HFqkL14EDBeJJmzcqbtLOFOvjmrKVf4ysO363fNw,,4650,1.61E+12,155,48,80,875,JUNGLE,man,2001,2013,ESFP
nIEPKd69r1eUjqvLcXWB832vARG4Qx09KmZyNlLRPAtf8wY,WSDdiNgw2B-2ZPlaaQ4YyJxHKBLN3ptjnhMgDlTHFSOp,uKLtYVL956N5nxC9ZMak3vvKZlafsbZ3cW_ab6aKV0Yb0vTkKDX_I3H7p_X1aVuZ67j8SewItEbRnw,,4317,1.61E+12,144,432,89,412,SUPPORT,man,1991,2013,ESFJ
CTNpzkS1ASDRmeZChZDe6MhSkQgJfoKiHD5_kv1mxen8WGg,ooOSKGcZTjpnpHKXsWZHH-EMt2xdc7eJQJ33GBrHksox,8rJjf34EpfUXduJoFN_Nhyw1FOg2qQHRQJj9xcZdp2XKOhrkYt0guCfQUGgz-9F1zi24T-ViqIBsOQ,,4655,1.61E+12,141,38,120,114,MID,man,1999,2013,ENFJ
IwaymOlCw0U3JOP0LSuG12dWXGB_uZwR4cefudTAdZX81A,YLyLtKRRwIZjlkYQVXEr-9cDuAOhvllv3-4MmRUMWNk9,a-4Mdgqh1-oLRJnmepHORWeQD1pPkBFrc9uE8Gww6HBaT33syDvV1w8A1HC36E6Ntl7innjKkw4Yyg,,4213,1.61E+12,146,98,78,516,TOP,man,1995,2013,ISFP
CkEt54EjBrhOQE5Vv_RuTds1hw1p8d_UqWDi812Jdo9kV-E,8vFYqcWusH5BO5MPqtw8NQkiVb544XkI_uHbGpfaueNzFlk,PSjmjt-FHkHEeJK95ngOrZjgnsqN-Q0O1Zs-sEiboh5UAej6UsGHI7sYKMtDxnAeHh74RmRc-6oZCw,,4658,1.61E+12,97,516,84,86,TOP,man,2004,2019,INTP
